time [ps]	intensity [W]	phase [rad]
-4.1024502	0.065426601	-60.701206
-4.086425	0.068190421	-60.42016
-4.0703998	0.052329299	-60.325035
-4.0543746	0.026052587	-60.579897
-4.0383494	0.027035011	-61.490719
-4.0223242	0.099734114	-61.956128
-4.006299	0.25522752	-62.041571
-3.9902738	0.44798696	-62.027026
-3.9742486	0.59567095	-61.980286
-3.9582234	0.63156561	-61.922798
-3.9421982	0.54831322	-61.865288
-3.926173	0.39766454	-61.817907
-3.9101478	0.24981076	-61.795497
-3.8941226	0.14975885	-61.816388
-3.8780974	0.10484491	-61.873232
-3.8620722	0.10320135	-61.892922
-3.846047	0.13492765	-61.816541
-3.8300218	0.19332288	-61.669477
-3.8139966	0.26230538	-61.489197
-3.7979714	0.31363189	-61.284817
-3.7819462	0.32460847	-61.04353
-3.765921	0.30004574	-60.741
-3.7498958	0.27309328	-60.361101
-3.7338706	0.2794242	-59.940036
-3.7178455	0.32676643	-59.564609
-3.7018203	0.3875772	-59.282136
-3.6857951	0.42095913	-59.081767
-3.6697699	0.40340066	-58.937551
-3.6537447	0.34249342	-58.826815
-3.6377195	0.26623096	-58.729077
-3.6216943	0.20224767	-58.622402
-3.6056691	0.16561216	-58.488229
-3.5896439	0.15995851	-58.329484
-3.5736187	0.18217763	-58.173768
-3.5575935	0.22109214	-58.040968
-3.5415683	0.25341455	-57.925906
-3.5255431	0.24950522	-57.808235
-3.5095179	0.19413643	-57.653311
-3.4934927	0.10859643	-57.375751
-3.4774675	0.049802995	-56.703836
-3.4614423	0.075403759	-55.727538
-3.4454171	0.19478935	-55.270694
-3.4293919	0.34714782	-55.07021
-3.4133667	0.43414771	-54.95942
-3.3973415	0.39083353	-54.898406
-3.3813163	0.24017061	-54.896764
-3.3652911	0.082532432	-55.065623
-3.3492659	0.022793007	-56.118196
-3.3332407	0.091907227	-56.999614
-3.3172156	0.22682555	-57.130581
-3.3011904	0.32348943	-57.126173
-3.2851652	0.31627115	-57.087521
-3.26914	0.21903898	-57.055741
-3.2531148	0.10171627	-57.101384
-3.2370896	0.032050327	-57.492865
-3.2210644	0.033885526	-58.365911
-3.2050392	0.087617299	-58.597736
-3.189014	0.1582571	-58.487146
-3.1729888	0.22067474	-58.253393
-3.1569636	0.26654613	-57.956728
-3.1409384	0.29881541	-57.624863
-3.1249132	0.32488936	-57.278708
-3.108888	0.35189504	-56.940165
-3.0928628	0.38227501	-56.63261
-3.0768376	0.41125498	-56.374477
-3.0608124	0.42989324	-56.172383
-3.0447872	0.43191876	-56.018886
-3.028762	0.41714541	-55.892583
-3.0127368	0.38902821	-55.758886
-2.9967116	0.35374745	-55.57379
-2.9806864	0.32718097	-55.295564
-2.9646612	0.34127234	-54.919067
-2.948636	0.43211017	-54.512896
-2.9326109	0.60751651	-54.155976
-2.9165857	0.8211819	-53.859046
-2.9005605	0.98781524	-53.592994
-2.8845353	1.0405521	-53.324174
-2.8685101	0.98561385	-53.023175
-2.8524849	0.90077498	-52.674102
-2.8364597	0.87102645	-52.297624
-2.8204345	0.91518471	-51.952861
-2.8044093	0.96964375	-51.68664
-2.7883841	0.94419162	-51.507087
-2.7723589	0.79883852	-51.406667
-2.7563337	0.57406233	-51.3834
-2.7403085	0.35345059	-51.447693
-2.7242833	0.19902765	-51.613628
-2.7082581	0.11715924	-51.852069
-2.6922329	0.076163075	-52.042487
-2.6762077	0.047461618	-52.043533
-2.6601825	0.027640554	-51.722552
-2.6441573	0.026396999	-51.109651
-2.6281321	0.041865167	-50.66546
-2.6121069	0.054072878	-50.436259
-2.5960817	0.044178309	-50.271757
-2.5800565	0.017817947	-49.998672
-2.5640313	0.0051996879	-48.697926
-2.5480061	0.034275343	-47.788109
-2.531981	0.1032132	-47.676364
-2.5159558	0.1832295	-47.73154
-2.4999306	0.25355397	-47.890235
-2.4839054	0.33304608	-48.123708
-2.4678802	0.4682726	-48.359769
-2.451855	0.67889841	-48.520332
-2.4358298	0.91196521	-48.580327
-2.4198046	1.0608067	-48.546102
-2.4037794	1.0459365	-48.421263
-2.3877542	0.88667875	-48.195746
-2.371729	0.68894768	-47.852444
-2.3557038	0.55239143	-47.400915
-2.3396786	0.48614371	-46.906133
-2.3236534	0.42263656	-46.413452
-2.3076282	0.32122116	-45.862076
-2.291603	0.25252987	-45.111181
-2.2755778	0.36047174	-44.27516
-2.2595526	0.71765969	-43.693636
-2.2435274	1.2078667	-43.310441
-2.2275022	1.5631707	-43.009631
-2.211477	1.5496089	-42.728109
-2.1954518	1.1564302	-42.413892
-2.1794266	0.63051957	-41.971401
-2.1634014	0.32125344	-41.173556
-2.1473763	0.45015895	-40.191256
-2.1313511	0.96967921	-39.622619
-2.1153259	1.598611	-39.28416
-2.0993007	1.9952164	-39.034911
-2.0832755	1.9502628	-38.832573
-2.0672503	1.4900631	-38.670719
-2.0512251	0.8455027	-38.572219
-2.0351999	0.31680136	-38.64518
-2.0191747	0.1117931	-39.318986
-2.0031495	0.24441372	-40.035856
-1.9871243	0.54696124	-40.117495
-1.9710991	0.78554049	-40.001923
-1.9550739	0.80589915	-39.794592
-1.9390487	0.61862308	-39.490736
-1.9230235	0.37537922	-39.011919
-1.9069983	0.26226622	-38.235936
-1.8909731	0.38671246	-37.424087
-1.8749479	0.72590905	-36.891674
-1.8589227	1.1524573	-36.528474
-1.8428975	1.5039697	-36.241184
-1.8268723	1.6519583	-35.995606
-1.8108471	1.5453479	-35.782704
-1.7948219	1.2245443	-35.606348
-1.7787967	0.80528527	-35.483205
-1.7627715	0.42975264	-35.453702
-1.7467464	0.19664576	-35.600687
-1.7307212	0.1086008	-35.956695
-1.714696	0.083031573	-36.245336
-1.6986708	0.037397052	-36.302498
-1.6826456	0.0013326869	-33.295476
-1.6666204	0.17773229	-32.99507
-1.6505952	0.90425852	-32.802172
-1.63457	2.530184	-32.587434
-1.6185448	5.2641709	-32.354872
-1.6025196	9.0428676	-32.109
