wavelength [nm]	Intensity [pJ/nm]	Phase [rad]
1330.323	2.5381105E-31	4.712389
1331.0429	9.3291592E-30	2.9487083
1331.7635	1.1661296E-29	5.7827445
1332.485	2.3818372E-30	2.896614
1333.2072	4.4786021E-30	2.3561945
1333.9302	2.7960928E-30	0.46364761
1334.654	2.3741019E-30	0.24497866
1335.3785	1.2555139E-30	1.5707963
1336.1039	4.4592037E-30	3.9269908
1336.83	1.3919877E-31	4.712389
1337.5569	3.4761877E-32	7.8539816
1338.2847	3.2727448E-30	10.027065
1339.0132	7.0239774E-31	10.995574
1339.7425	3.1183699E-31	10.995574
1340.4726	8.6527053E-33	10.995574
1341.2035	2.3509714E-30	12.811349
1341.9352	2.4714407E-30	9.755874
1342.6677	2.313505E-30	9.6401357
1343.401	5.513615E-31	10.995574
1344.1351	4.7524513E-30	10.995574
1344.87	3.4384853E-30	10.995574
1345.6057	5.6329513E-30	10.320833
1346.3422	2.1958205E-30	12.566371
1347.0795	2.7417718E-30	9.8884256
1347.8177	1.2324463E-30	10.995574
1348.5566	3.4197112E-30	10.995574
1349.2963	2.7327701E-30	13.030018
1350.0369	1.625601E-30	10.37743
1350.7783	1.2355709E-30	11.722217
1351.5205	8.5118223E-31	10.068279
1352.2635	2.2106425E-30	11.51472
1353.0073	1.3589E-31	14.137167
1353.7519	5.5144599E-31	11.51472
1354.4974	3.6694363E-30	11.610237
1355.2437	8.2111648E-31	13.718943
1355.9908	4.3970123E-31	16.690757
1356.7387	1.0811485E-30	16.493361
1357.4874	7.1568189E-30	18.247269
1358.237	6.1523288E-31	19.208327
1358.9874	5.3878674E-31	18.849556
1359.7387	2.6909578E-31	18.064158
1360.4907	3.5699781E-30	17.523738
1361.2436	1.8669217E-31	17.837359
1361.9974	3.017295E-31	18.849556
1362.7519	2.185117E-30	17.659266
1363.5073	2.5590235E-30	18.309136
1364.2636	1.1741963E-30	15.27261
1365.0207	1.2620737E-30	13.030018
1365.7786	2.2224578E-30	10.411818
1366.5373	9.5330149E-31	11.913524
1367.297	2.690527E-30	12.255609
1368.0574	5.381596E-30	13.196611
1368.8187	2.4528835E-30	11.793825
1369.5809	1.4572773E-30	11.794305
1370.3439	3.5033003E-31	9.4632206
1371.1077	2.4824016E-31	8.327833
1371.8724	2.6539334E-30	5.7367624
1372.638	9.0917031E-31	5.451538
1373.4044	9.4868323E-31	5.5044116
1374.1716	1.1524512E-30	6.3036958
1374.9398	2.0517375E-30	4.9201688
1375.7087	1.0549197E-30	4.8323525
1376.4786	2.25055E-30	3.1383741
1377.2493	6.1148309E-31	1.2875076
1378.0209	1.432261E-30	-0.71349553
1378.7933	2.6569965E-30	-0.052036315
1379.5666	3.6761648E-31	-0.46364761
1380.3408	4.9470571E-30	1.152572
1381.1158	1.2063389E-30	-0.16514868
1381.8917	9.9329811E-31	1.6614562
